Year,Quarter,Sector,ROE
2015,Q1,INSUR,17.15
2015,Q1,AUTO,9.7
2015,Q1,IMM,7.33
2015,Q1,PAPER,9.07
2015,Q1,PETRO,5.36
2015,Q1,PKG,5.52
2015,Q1,STEEL,-10.46
2015,Q1,CONMAT,16.58
2015,Q1,PROP,12.56
2015,Q1,PF&REIT,
2015,Q1,CONS,10.87
2015,Q1,ENERG,5.34
2015,Q1,MINE,10.16
2015,Q1,COMM,18.35
2015,Q1,HELTH,17.46
2015,Q1,MEDIA,10.08
2015,Q1,PROF,7.88
2015,Q1,TOURISM,6.21
2015,Q1,TRANS,3.87
2015,Q1,ETRON,14.69
2015,Q1,ICT,41.36
2016,Q1,AGRO,-0.83
2016,Q1,CONSUMP,13.65
2016,Q1,FINCIAL,1.35
2016,Q1,INDUS,8.42
2016,Q1,PROPCON,7.85
2016,Q1,RESOURC,13.97
2016,Q1,SERVICE,-9.0
2016,Q1,TECH,-12.06
2016,Q1,AGRI,5.51
2016,Q1,FOOD,12.08
2016,Q1,FASHION,6.13
2016,Q1,HOME,10.44
2016,Q1,PERSON,7.55
2016,Q1,BANK,11.62
2016,Q1,FIN,13.52
2016,Q1,INSUR,4.6
2016,Q1,AUTO,10.33
2016,Q1,IMM,5.39
2016,Q1,PAPER,9.54
2016,Q1,PETRO,9.84
2016,Q1,PKG,7.88
2016,Q1,STEEL,-2.84
2016,Q1,CONMAT,19.46
2016,Q1,PROP,11.17
2016,Q1,PF&REIT,
2016,Q1,CONS,9.76
2016,Q1,ENERG,2.95
2016,Q1,MINE,-4.93
2016,Q1,COMM,19.41
