Month,Sector,PE,ROE
2011-04,HOME,8.73,12.69
2011-04,ICT,20.57,17.78
2011-04,IMM,9.36,20.61
2011-04,INDUS,,
2011-04,INSUR,13.57,18.19
2011-04,MAIIND,,14.73
2011-04,MEDIA,17.06,23.66
2011-04,MEDSIZE,21.24,14.73
2011-04,MINE,22.01,-10.22
2011-04,PAPER,18.63,4.12
2011-04,PERSON,13.47,14.98
2011-04,PETRO,20.57,22.98
2011-04,PF&REIT,,
2011-04,PKG,8.32,33.77
2011-04,PROF,,-7.86
2011-04,PROP,13.92,10.86
2011-04,PROPCON,,
2011-04,RESOURC,,
2011-04,SERVICE,,
2011-04,STEEL,,-5.01
2011-04,TECH,,
2011-04,TOURISM,38.75,8.04
2011-04,TRANS,12.13,0.22
2011-05,AGRI,10.69,18.66
2011-05,AGRO,,
2011-05,AUTO,16.44,6.6
2011-05,BANK,13.53,14.68
2011-05,COMM,23.81,19.79
2011-05,CONMAT,11.44,22.79
2011-05,CONS,,
2011-05,CONSUMP,,
2011-05,ENERG,11.1,22.02
2011-05,ETRON,8.6,15.08
2011-05,FASHION,10.12,10.58
2011-05,FIN,8.45,13.85
2011-05,FINCIAL,,
2011-05,FOOD,17.3,18.79
2011-05,HELTH,22.99,18.11
2011-05,HOME,8.4,12.69
2011-05,ICT,20.32,17.78
2011-05,IMM,9.25,20.61
2011-05,INDUS,,
2011-05,INSUR,14.53,18.19
2011-05,MAIIND,,14.73
2011-05,MEDIA,16.88,23.66
2011-05,MEDSIZE,19.65,14.73
2011-05,MINE,32.72,-10.22
2011-05,PAPER,21.04,4.12
2011-05,PERSON,13.24,14.98
2011-05,PETRO,13.18,22.98
2011-05,PF&REIT,,
2011-05,PKG,6.69,33.77
2011-05,PROF,,-7.86
2011-05,PROP,16.23,10.86
2011-05,PROPCON,,
2011-05,RESOURC,,
2011-05,SERVICE,,
2011-05,STEEL,,-5.01
2011-05,TECH,,
2011-05,TOURISM,30.87,8.04
2011-05,TRANS,25.86,0.22
2011-06,AGRI,10.06,18.66
2011-06,AGRO,,
2011-06,AUTO,16.37,6.6
2011-06,BANK,13.19,14.68
2011-06,COMM,23.8,19.79
2011-06,CONMAT,11.16,22.79
2011-06,CONS,,
2011-06,CONSUMP,,
2011-06,ENERG,10.57,22.02
2011-06,ETRON,8.41,15.08
2011-06,FASHION,9.85,10.58
2011-06,FIN,8.31,13.85
2011-06,FINCIAL,,
2011-06,FOOD,16.83,18.79
2011-06,HELTH,22.66,18.11
2011-06,HOME,8.3,12.69
2011-06,ICT,20.61,17.78
